id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,5.553547006321534e-05,0.3489086414568062,0.43947495377840073,0.13622274009998425,5.74105803572336e-16,0.0006071148680366941,0.0747263556023642,6.663297513520646e-07,3.992394592623511e-06
2,0.00013837053934539567,2.237306412970681e-05,2.760733468830853e-07,2.1989725868124767e-07,3.76677296695949e-10,0.0004444652122570001,0.0007861456487341081,0.9985745625184193,3.358666983153715e-05
3,1.0394832286456307e-05,3.955560888039235e-06,5.201300685270134e-09,0.5064475427479403,7.55406900128999e-12,0.4888337558833705,0.004612738065080765,6.333906419503293e-05,2.826863738400071e-05
4,0.13988373231963333,0.24847161462823739,0.08864141421104493,0.008752260202289912,0.053647797919967065,0.04384180630387654,0.04642850453837289,0.11896430367643634,0.25136856620014153
5,9.196680757708594e-07,0.5437167328238619,0.3301784529677538,0.12207765494916842,1.9771957717420426e-12,1.6455505667142383e-05,0.004008098950253743,1.2568441786713016e-07,1.5594488242023898e-06
6,1.4176086855408139e-06,0.8916900570662321,0.10194366163161825,0.0034964616097772267,0.002230018644008188,6.218391658596224e-05,0.0004903068105666657,7.994077336930335e-05,5.951939156812636e-06
7,2.399241666677058e-10,0.9041757601100427,0.09171219884946323,0.004111990437472328,8.096759945777984e-09,9.86720793960322e-10,3.9598497395863394e-08,2.9294278864092203e-10,1.3881765306054144e-09
8,3.2975274044894414e-17,0.9222563317892237,0.04055181792043457,0.03719183879722455,1.344850212616685e-15,1.6071416099411263e-13,1.1492953399567365e-08,2.730538920803921e-16,1.47434620992691e-15
9,8.560656189132593e-08,0.4005566754828736,0.5733271616491882,0.011444409738728456,8.761179261592351e-13,3.7729919452218034e-05,0.014632804261712023,1.0956920421475407e-06,3.76485654603243e-08
10,1.588130892097179e-05,0.465040271084874,0.46139330937743966,0.06964828635925742,0.00023116972239815072,0.0003578071295383133,0.0029940386352384414,0.00013368826507605822,0.0001855481172570552
11,0.1467806161713413,0.0003795925925951857,1.2414618037950372e-05,0.0003042966266552902,5.131909223884688e-06,0.6159733596708771,0.010647534927071494,0.021862271182429227,0.20403478230176864
12,0.0022611222609810115,2.0431471146148596e-05,4.182086355177231e-05,4.471886539347132e-05,3.167659176440997e-10,0.006740776242605664,0.00021258818032614195,0.9824342106511986,0.00824433114803131
13,5.638081339745471e-05,0.6220540323716032,0.35525053357851344,0.0025997839550595202,0.0017174623779988383,0.0026852650700069816,0.004406670955015533,0.011204257658480954,2.5613219924177e-05
14,0.0025242355672084496,2.3337146411259685e-06,4.396323815219119e-06,7.964571620207627e-10,1.2487038178288139e-16,0.007007769491158557,0.0265577527182694,0.9632349653149807,0.0006685460734694945
15,5.6008074777741865e-11,3.131426707445487e-06,2.3710321486531137e-07,4.5271015511745013e-07,0.9999961776164338,1.5872574853032597e-10,3.0228343861457203e-10,5.377671542045592e-10,8.87044868167446e-11
16,1.366917978116221e-07,0.00010680136429181584,8.282579561969296e-06,0.00037256714333807077,8.205507133279694e-14,0.17297019631623892,0.8264084819347884,0.00013276641023165592,7.675596692734989e-07
17,0.00013843684867405548,0.000731351255237338,0.002268868245647382,3.2358273521464754e-06,4.045317864446942e-08,0.9879365348414193,0.0012690583375295893,0.004109356362846024,0.003543117828115718
18,0.001135214931691723,0.5628884256616904,0.296487446665495,0.10191312598016906,0.003624143325254718,0.012240807342470128,0.013610977860154088,0.00273932746926882,0.005360530763806229
19,0.002876959485790374,0.7262124308915354,0.19248278894064186,0.01659345068617127,0.03679008256377993,0.004113743425880888,0.0064344550758452254,0.009141464021119346,0.005354624909235651
20,8.602147483656145e-13,0.39636501959500325,0.3359604468874314,0.26766382817970424,1.5262815389248849e-18,6.23665490346434e-10,1.0704649934049018e-05,5.8988615784259566e-12,5.7502650329632734e-11
